41171,2010,BSAD,351,20,NH,B24
41277,2010,PHIL,230,0,NH,125
41282,2010,SPAN,100,12,SC,14
41333,2010,NURS,493,12,MB,101
41375,2010,SOCI,100,15,NH,118
41377,2010,PSYC,100,19,NH,138
41724,2010,ART,100,15,AR,V
41725,2010,ART,200,12,AR,0
41735,2010,BIOL,470,10,BB,250
41766,2010,HIST,230,0,NH,17
41800,2010,BSAD,443,10,NH,124
41806,2010,HKIN,215,11,OC,207
41807,2010,HKIN,215,12,OC,207
41808,2010,HKIN,222,20,NH,B33
41809,2010,HKIN,301,20,SC,14
41810,2010,HKIN,236,22,OC,207
41811,2010,HKIN,321,10,OC,A209
41815,2010,HKIN,354,21,OC,207
41816,2010,HKIN,376,20,OC,207
41818,2010,HKIN,396,10,OC,207
41824,2010,HKIN,466,20,OC,A209
41825,2010,CSCI,100,11,NH,123LAB
41826,2010,CSCI,100,12,NH,123LAB
41827,2010,CSCI,483,21,,
41833,2010,HIST,110,11,NH,121
41834,2010,HIST,110,12,NH,B24
41837,2010,HIST,310,0,NH,B24
41839,2010,HNU,200,0,MB,101
41847,2010,MATH,111,12,NH,122
41848,2010,MATH,111,13,NH,16
41849,2010,MATH,111,14,NH,B21
41850,2010,MATH,112,21,NH,17
41851,2010,MATH,112,22,NH,122
41852,2010,MATH,112,23,,
41854,2010,MATH,254,20,NH,122
41861,2010,MUSI,117,10,NH,138
41862,2010,MUSI,118,20,NH,138
41866,2010,NURS,315,10,MB,1
41867,2010,NURS,315,20,MA,15
41868,2010,NURS,345,10,MA,15
41869,2010,NURS,345,20,MB,1
41870,2010,NURS,365,20,MA,15
41878,2010,PHYS,343,20,NH,127
41896,2010,RELS,215,21,SC,14
41897,2010,RELS,225,11,SC,14
41902,2010,SOCI,201,10,AX,124
41908,2010,STAT,201,11,NH,21
41909,2010,STAT,201,12,NH,119
41911,2010,STAT,201,21,NH,19
41912,2010,STAT,201,22,NH,16
41913,2010,STAT,201,23,SC,14
41915,2010,STAT,231,10,NH,18
41916,2010,STAT,231,20,,
41917,2010,STAT,331,20,BB,237
41918,2010,STAT,333,10,AX,23A
42010,2010,WMNS,365,20,MA,15
42012,2010,ENGR,245,10,PS,3034
42014,2010,ENGR,248,20,PS,3034
42025,2010,MUSI,290,0,,
42077,2010,SOCI,226,11,SC,14
42079,2010,SOCI,227,21,SC,14
42113,2010,ART,100,16,AR,0
42197,2010,ART,115,24,AR,0
42323,2010,ART,145,11,AR,0
42324,2010,ART,211,11,AR,0
42325,2010,ART,211,12,AR,0
42326,2010,ART,212,21,AR,0
42327,2010,ART,212,22,AR,0
